key,value
Recording Name,2017_10_25
Start Date,25.10.2017
Start Time,13:47:22
Duration Time,00:00:51
World Camera Frames,1259
World Camera Resolution,1280x720
Capture Software Version,0.9.14.7
Data Format Version,v0.9.15
System Info,"User: Riccardo, Platform: Windows, Machine: DESKTOP-OVMEQ2Q, Release: 10, Version: 10.0.16299"
